,Type of Travel,Inflight wifi service,Customer Type,Online boarding,Checkin service,Class,Inflight service,Baggage handling,Seat comfort,Cleanliness,On-board service,Leg room service,True_Y,Predicted_Y_AdaBoost
9405,0,3,0,2,1,0,2,2,1,1,2,2,1,0
9408,0,4,1,4,1,1,3,4,3,3,4,3,1,0
9419,1,4,0,5,4,1,2,2,4,5,2,4,1,0
9424,1,4,0,4,3,2,5,5,5,5,5,5,0,1
9441,0,3,0,3,3,0,5,5,3,3,5,3,1,0
9452,0,4,0,4,2,0,1,4,3,3,1,1,0,1
9456,0,2,0,4,1,0,3,2,4,3,3,3,0,1
9459,0,2,0,4,4,0,2,2,3,2,2,2,0,1
9477,0,3,0,2,4,1,3,3,5,1,3,3,1,0
9484,0,3,0,1,1,0,4,4,1,5,4,4,1,0
9503,0,4,0,4,1,1,3,1,4,4,3,2,1,0
9515,0,4,1,4,5,1,5,4,2,2,4,3,1,0
9528,0,4,1,4,5,1,5,4,1,1,3,3,1,0
9529,0,4,0,4,1,2,2,1,4,4,3,5,0,1
9538,1,4,0,4,3,1,4,4,3,3,3,4,1,0
9544,0,1,0,4,1,0,1,1,4,2,1,1,0,1
9561,1,5,0,3,2,0,2,2,3,2,2,5,1,0
9571,1,4,0,4,4,1,5,5,4,4,4,3,1,0
9590,0,4,0,4,3,0,4,4,3,1,4,4,0,1
9597,1,5,1,5,3,1,4,3,5,1,1,1,1,0
9621,1,4,0,2,4,1,2,2,4,4,1,3,1,0
9679,0,4,0,4,2,1,2,2,3,3,2,5,0,1
9685,0,4,0,3,3,1,4,4,2,2,4,4,1,0
9688,0,4,0,4,2,0,4,3,4,4,1,5,0,1
9710,0,3,0,4,2,0,3,3,4,3,3,3,0,1
9711,1,4,0,4,4,1,4,3,3,3,2,4,1,0
9712,0,2,0,1,2,0,4,4,1,3,4,4,1,0
9746,1,4,0,5,3,1,5,5,1,1,4,5,0,1
9809,0,3,0,4,1,0,3,3,3,1,3,3,0,1
9827,0,4,0,4,2,1,3,4,4,4,2,1,1,0
9833,1,4,0,4,4,1,4,5,4,4,4,5,1,0
9835,0,4,0,4,4,1,2,1,4,4,2,3,1,0
9846,0,4,1,4,5,0,4,5,5,5,4,3,0,1
9853,0,3,0,2,2,0,4,5,2,2,4,3,1,0
9855,0,4,0,2,2,1,4,4,5,5,4,4,1,0
9866,1,3,0,5,3,2,5,5,4,5,5,4,0,1
9870,0,3,0,3,2,0,2,5,3,3,3,2,1,0
9886,0,3,0,3,5,2,3,2,3,3,4,1,1,0
9912,0,4,1,4,2,1,3,4,2,2,3,4,1,0
9915,0,2,0,4,1,0,2,2,4,4,2,2,0,1
9927,0,3,0,4,2,0,3,3,4,3,3,3,0,1
9932,0,2,0,2,1,2,2,2,1,4,2,2,1,0
9935,0,2,1,4,4,0,4,5,4,4,3,4,0,1
9947,1,5,0,3,3,1,5,5,3,4,5,5,1,0
9977,1,4,0,4,3,1,5,5,5,3,5,4,0,1
9992,0,4,0,3,4,0,4,4,3,3,4,4,0,1
9998,0,3,0,3,5,2,5,4,3,3,4,2,1,0
10008,0,4,0,4,3,0,3,3,4,4,3,1,0,1
10023,0,4,0,3,4,0,4,4,3,2,4,4,0,1
10038,0,3,0,4,4,0,3,3,3,2,3,3,0,1
10039,1,4,0,4,5,1,5,5,5,5,5,5,0,1
10050,1,4,0,4,1,1,3,3,3,2,5,5,1,0
10072,1,1,0,5,5,1,5,5,5,5,4,4,0,1
10092,0,2,0,3,1,0,4,4,2,4,4,4,1,0
10095,0,4,1,1,1,0,5,5,1,1,2,4,1,0
10122,0,4,1,4,4,1,5,1,5,5,1,2,1,0
10128,1,4,0,5,5,1,4,4,5,3,4,4,0,1
10136,0,1,0,1,3,0,3,3,5,3,3,3,1,0
10149,0,4,1,4,4,1,3,4,5,5,4,5,0,1
10158,0,1,0,4,4,0,1,1,4,1,1,1,0,1
10160,0,3,1,3,2,1,4,4,5,5,2,4,1,0
10171,0,3,0,2,2,1,3,3,3,1,3,3,1,0
10174,0,2,0,4,1,0,2,2,4,2,2,2,0,1
10181,1,4,0,4,3,1,4,4,3,4,3,3,1,0
10185,1,4,0,4,5,1,4,5,3,3,1,2,1,0
10195,1,4,0,3,3,1,5,5,2,3,5,4,1,0
10200,1,0,0,0,3,1,4,4,2,2,3,2,1,0
10205,0,4,0,4,3,1,4,4,4,4,4,3,0,1
10212,1,5,0,2,3,1,5,5,3,4,5,0,1,0
10236,0,1,0,4,4,0,1,1,3,1,1,1,0,1
10264,0,4,0,4,3,1,4,3,4,4,1,1,1,0
10287,0,3,0,4,1,0,3,3,4,3,3,3,0,1
10297,0,2,1,5,5,1,4,5,5,5,4,5,0,1
10313,0,4,0,2,1,1,4,4,4,1,4,4,1,0
10369,0,4,0,2,1,1,4,4,3,5,4,4,1,0
10374,0,4,0,3,1,0,4,4,2,3,4,4,0,1
10376,0,1,0,3,5,0,3,3,2,3,3,3,1,0
10398,0,4,1,4,5,0,5,5,3,3,3,2,0,1
10426,1,4,0,4,3,1,3,3,3,2,3,4,1,0
10428,0,3,0,3,3,2,2,1,3,3,1,1,1,0
10453,1,4,0,4,4,1,1,1,4,4,1,4,1,0
10459,0,4,0,1,1,1,4,4,2,1,4,4,1,0
10495,1,0,0,0,4,1,4,4,5,5,3,2,1,0
10497,0,3,0,4,2,0,3,3,4,3,3,2,0,1
10499,0,4,0,3,3,2,4,4,2,2,4,4,1,0
10511,0,2,0,4,2,0,2,2,3,1,2,2,0,1
10530,1,4,0,5,3,1,5,5,4,4,5,5,0,1
10547,0,2,0,4,4,0,2,2,3,4,2,2,0,1
10550,1,5,0,3,3,1,2,4,3,4,2,5,1,0
10555,1,0,0,0,2,1,2,2,3,3,3,3,1,0
10560,0,2,0,2,3,1,5,4,2,2,2,3,1,0
10570,0,4,0,4,4,2,2,4,4,4,5,3,0,1
10590,0,4,1,4,4,1,5,2,3,3,4,5,0,1
10591,0,1,0,4,2,0,1,1,3,1,1,2,0,1
10595,1,4,0,2,4,1,4,4,2,4,4,4,1,0
10601,0,4,0,3,4,0,4,4,2,3,4,4,0,1
10629,0,2,0,2,2,0,3,5,2,2,3,5,1,0
10633,0,4,0,4,2,1,3,1,4,4,1,1,1,0
10635,0,2,1,2,4,0,5,4,1,1,5,5,1,0
10650,0,3,0,1,5,0,3,3,2,5,3,3,1,0
10657,1,4,0,5,3,1,2,3,1,1,3,5,1,0
10661,0,4,0,4,3,2,1,1,4,4,3,2,1,0
10662,0,2,0,2,2,2,5,2,2,2,4,3,1,0
10669,1,4,0,4,4,1,4,5,4,4,5,1,1,0
10692,0,4,0,4,3,0,2,4,3,2,2,2,0,1
10699,1,4,0,4,2,1,4,4,4,4,4,4,1,0
10709,0,3,0,2,5,1,3,3,1,1,3,3,1,0
10712,0,4,0,3,4,0,4,4,4,3,4,4,0,1
10719,1,4,0,4,3,1,5,1,4,3,5,4,1,0
10721,0,4,1,4,3,0,4,4,1,1,1,5,0,1
10734,0,2,0,4,3,0,2,2,4,2,2,2,0,1
10747,0,3,0,4,4,0,3,3,3,2,3,2,0,1
10756,1,4,0,4,1,2,4,3,4,4,3,4,1,0
10764,1,4,0,4,1,0,3,3,5,5,4,5,0,1
10767,0,3,0,3,4,0,4,4,1,5,4,4,1,0
10769,1,4,0,5,4,1,5,5,4,4,5,4,0,1
10778,0,4,0,4,4,1,4,4,3,4,4,4,0,1
10782,0,1,0,2,3,0,4,4,2,2,5,4,1,0
10788,1,5,0,0,4,1,4,5,2,2,3,4,1,0
10797,0,4,0,4,2,1,4,4,3,4,4,4,0,1
10799,0,4,0,3,4,1,4,4,3,3,4,4,1,0
10805,0,3,0,4,2,0,3,3,3,1,3,3,0,1
10814,0,3,0,4,3,0,1,3,4,2,1,1,0,1
10824,0,4,0,4,4,0,3,3,4,4,3,3,0,1
10826,1,4,0,4,4,1,3,3,5,5,4,2,1,0
10836,0,1,0,4,4,0,1,1,3,1,1,2,0,1
10848,0,4,1,4,3,1,4,3,1,1,4,5,0,1
10855,1,4,0,1,5,1,2,4,2,1,2,4,1,0
10856,0,4,1,4,5,0,5,4,3,3,5,4,0,1
10859,1,4,0,4,5,1,5,5,1,1,5,3,1,0
10888,0,4,1,4,4,0,4,4,4,4,3,4,0,1
10929,0,2,0,2,3,0,4,4,3,3,4,4,1,0
10964,0,4,0,3,2,0,4,4,3,1,4,4,0,1
10967,0,4,0,4,2,0,4,4,4,3,4,4,0,1
10983,0,4,0,4,3,1,3,3,5,5,4,5,0,1
10985,0,1,0,3,3,0,4,4,3,3,4,2,1,0
11011,1,2,0,5,5,2,4,4,5,5,4,4,0,1
11036,0,3,0,3,2,0,4,4,2,4,4,4,1,0
11048,1,3,0,5,4,0,5,5,5,4,5,3,0,1
11065,0,4,0,4,1,0,3,2,4,4,1,5,0,1
11092,0,4,0,4,4,0,4,3,4,4,3,4,0,1
11094,0,4,0,4,4,2,3,3,3,4,3,4,0,1
11096,0,5,0,4,2,0,5,5,3,1,5,4,0,1
11126,0,2,1,2,3,0,4,4,1,1,3,2,1,0
11127,1,4,0,4,5,1,5,5,4,4,5,4,0,1
11137,0,4,0,4,4,1,3,3,4,4,1,1,1,0
11143,1,4,0,2,2,1,5,4,2,2,5,4,1,0
11147,0,2,1,5,5,2,1,3,5,5,5,4,0,1
11148,1,4,0,4,2,1,3,2,3,3,2,5,1,0
11150,0,5,0,4,4,0,3,3,5,5,3,5,0,1
11152,1,2,0,5,5,2,5,5,5,5,4,4,0,1
11159,0,3,0,2,2,1,3,3,4,3,3,3,1,0
11162,0,4,0,2,1,0,4,4,3,1,4,4,0,1
11203,0,4,1,3,3,1,1,4,5,5,5,2,1,0
11229,0,5,0,2,2,0,5,5,2,3,5,4,0,1
11239,0,2,0,4,1,0,2,2,4,3,2,2,0,1
11253,0,2,0,4,1,0,2,2,3,2,2,2,0,1
11270,0,1,0,4,1,0,1,1,3,2,1,1,0,1
11279,0,1,0,3,4,0,4,5,3,3,5,3,1,0
11285,0,4,0,1,3,1,4,4,1,5,4,4,1,0
11290,0,3,0,3,2,1,3,5,4,4,4,5,1,0
11293,0,3,0,4,4,1,2,3,3,3,4,1,1,0
11304,0,2,0,3,4,0,2,2,2,3,2,2,1,0
11312,0,4,0,4,2,2,1,4,4,4,2,2,1,0
11315,0,3,1,3,5,0,5,4,5,5,4,5,1,0
11320,0,2,0,2,5,1,1,1,2,2,5,3,1,0
11322,0,4,0,4,2,1,3,3,3,3,1,4,0,1
11326,0,3,0,1,4,1,3,3,2,3,3,3,1,0
11329,1,4,0,4,5,1,5,5,1,1,3,5,1,0
11361,0,4,0,4,1,0,4,4,4,3,4,4,0,1
11363,1,5,0,3,3,2,3,4,3,3,4,4,1,0
11369,0,2,0,4,3,0,2,2,3,4,2,2,0,1
11373,0,2,0,1,4,0,4,4,1,4,4,4,1,0
11389,0,4,0,4,2,1,3,3,4,4,1,1,1,0
11390,0,2,0,2,5,2,3,2,2,2,1,2,1,0
11414,0,5,0,4,2,0,3,4,5,5,2,5,0,1
11416,1,4,0,4,3,1,4,5,5,5,5,2,1,0
11450,0,4,1,4,4,1,3,3,4,4,4,5,0,1
11457,0,4,0,4,1,0,4,4,3,2,4,3,0,1
11469,0,4,1,4,3,1,2,2,4,4,4,3,1,0
11481,0,4,0,3,5,1,4,4,3,2,4,4,1,0
11513,0,1,0,4,3,0,1,1,4,1,1,1,0,1
11540,0,4,0,1,1,1,4,4,4,4,4,4,1,0
11549,1,4,0,5,3,1,5,3,1,4,4,4,0,1
11556,0,3,1,5,5,0,2,4,5,5,4,4,0,1
11585,0,4,0,2,5,0,3,3,4,4,3,3,1,0
11596,0,3,0,2,2,0,5,5,2,2,3,5,1,0
11602,1,4,0,5,4,1,3,5,4,3,3,4,0,1
11606,0,4,1,4,5,1,5,3,1,3,5,3,1,0
11622,0,2,0,3,4,0,2,2,4,3,2,2,1,0
11633,0,4,1,4,4,1,4,5,1,1,3,4,1,0
11634,0,2,0,1,3,0,4,4,2,4,4,4,1,0
11639,1,4,0,1,1,1,3,5,1,1,5,4,1,0
11650,1,4,0,4,1,0,4,3,2,1,1,5,1,0
11653,0,2,0,4,3,0,2,2,4,2,2,2,0,1
11658,1,0,0,0,4,1,3,2,4,4,1,2,1,0
11663,0,4,1,4,3,1,3,5,3,3,1,2,1,0
11665,0,4,1,4,3,2,4,5,1,2,5,5,0,1
11667,0,3,0,4,4,0,3,3,3,4,3,3,0,1
11671,0,4,0,3,2,1,4,4,5,2,4,4,1,0
11672,0,4,1,4,3,0,3,2,4,4,3,5,0,1
11680,0,1,0,1,1,0,4,4,3,2,4,4,1,0
11694,0,3,0,3,4,0,4,4,1,4,4,4,1,0
11703,0,3,0,4,2,0,3,3,3,4,3,3,0,1
11708,0,4,0,4,2,1,3,3,2,4,4,4,0,1
11722,0,1,0,4,3,0,1,1,4,4,1,1,0,1
11731,1,0,0,0,1,1,4,3,3,4,1,2,1,0
11747,1,4,0,4,4,1,5,4,3,3,4,3,1,0
11748,0,4,0,4,1,0,4,4,3,2,4,4,0,1
11756,0,3,0,2,3,0,5,4,1,1,3,5,1,0
11759,0,4,0,4,1,1,2,1,4,4,3,2,1,0
11763,0,3,0,4,3,0,3,3,3,4,3,3,0,1
11796,1,5,0,1,1,1,5,5,1,1,2,5,1,0
11798,0,5,0,4,2,2,4,4,3,5,1,1,0,1
11816,1,4,0,4,5,1,4,5,1,1,4,2,1,0
11835,0,4,1,4,3,1,5,4,5,5,3,2,1,0
11865,0,4,0,1,3,1,4,4,5,1,4,4,1,0
11872,0,4,0,4,2,0,3,3,4,4,3,3,0,1
11876,0,3,0,4,1,0,3,3,4,1,3,3,0,1
11888,1,4,0,4,4,1,3,3,2,2,4,4,1,0
11894,0,2,0,3,3,0,5,4,3,3,4,2,1,0
11909,0,3,0,3,5,1,1,3,3,3,5,3,1,0
11911,0,2,0,4,3,0,2,2,3,3,2,2,0,1
11915,0,3,0,3,4,0,4,4,3,3,3,4,1,0
11921,0,3,0,4,2,0,3,3,4,3,3,3,0,1
11922,0,2,0,4,3,0,2,2,3,3,2,2,0,1
11925,0,2,0,4,3,0,2,2,3,4,2,2,0,1
11931,0,4,0,3,1,0,4,3,4,4,2,4,0,1
11947,0,4,0,1,5,1,4,4,4,5,4,4,1,0
11952,0,3,0,4,2,0,3,3,3,2,3,3,0,1
11967,0,1,0,4,3,0,1,1,4,1,1,1,0,1
11975,0,4,0,3,1,2,4,4,2,3,4,4,1,0
11978,1,4,0,4,5,1,5,4,4,4,5,3,1,0
11992,0,3,0,3,5,1,4,3,3,3,1,3,1,0
12026,0,2,0,2,2,0,4,4,4,4,4,4,1,0
12027,0,2,0,4,1,0,2,2,3,2,2,2,0,1
12036,0,4,1,4,5,0,4,4,5,5,3,2,0,1
12037,0,4,1,4,5,1,3,4,3,3,2,1,1,0
12047,0,1,0,4,3,0,1,1,4,1,1,1,0,1
12068,0,2,0,2,5,1,3,4,3,3,3,5,1,0
12069,0,4,0,1,5,1,4,4,1,3,4,4,1,0
12092,1,3,0,5,5,1,4,5,1,1,4,4,0,1
12105,0,4,1,4,4,0,5,4,5,5,4,4,0,1
12122,0,4,0,4,4,0,2,4,3,3,2,2,0,1
12141,1,4,0,5,4,1,4,4,4,3,4,4,0,1
12144,0,4,0,4,1,0,4,3,4,4,1,4,0,1
12154,1,3,0,4,5,0,4,3,1,1,4,4,0,1
12188,1,3,0,5,3,0,5,5,5,5,5,3,0,1
12190,0,3,0,4,3,0,3,3,4,4,3,3,0,1
12219,1,4,0,4,3,1,4,4,5,5,5,3,1,0
12242,0,3,0,3,5,0,1,1,5,4,1,2,1,0
12254,0,3,0,4,1,0,3,3,4,2,3,3,0,1
12255,1,1,0,5,4,0,4,3,4,4,4,5,0,1
12282,0,2,0,4,2,0,2,2,3,4,2,2,0,1
12284,1,0,0,0,3,1,3,3,5,5,1,3,1,0
12311,0,4,0,4,4,0,4,4,3,3,4,4,0,1
12332,0,3,0,4,4,0,3,3,4,1,3,3,0,1
12337,0,4,1,4,1,2,2,4,4,5,5,5,0,1
12338,0,3,0,4,1,0,3,3,4,4,3,3,0,1
12339,0,1,0,3,5,0,5,3,3,3,5,1,1,0
12340,0,1,0,4,2,0,1,1,4,2,1,1,0,1
12371,0,5,0,3,3,0,5,5,2,3,5,4,0,1
12376,0,2,0,2,2,1,3,1,2,2,3,3,1,0
12385,1,3,0,5,5,2,5,5,4,4,5,4,0,1
12402,0,4,1,3,5,0,4,4,2,2,4,5,1,0
12428,0,1,0,4,4,0,1,1,4,3,1,1,0,1
12444,0,4,1,4,1,0,3,3,5,3,4,2,0,1
12455,0,4,1,4,2,1,3,1,5,5,5,5,0,1
12461,0,4,1,4,5,0,4,4,4,4,3,3,1,0
12465,0,4,1,4,1,0,3,4,3,3,4,5,0,1
12472,0,4,1,3,3,0,3,5,3,3,5,5,1,0
12489,0,5,0,4,1,1,3,3,5,5,3,1,0,1
12504,0,3,0,4,1,0,3,3,4,3,3,3,0,1
12514,1,4,0,3,1,2,4,4,3,4,4,2,1,0
12522,0,4,0,4,4,1,2,2,4,4,1,3,1,0
12548,0,4,0,2,1,1,4,4,2,3,4,4,1,0
12554,1,4,0,3,1,1,4,4,5,1,4,4,1,0
12558,0,2,0,4,2,0,2,2,3,3,2,2,0,1
12570,1,0,0,0,5,1,4,4,4,4,3,3,1,0
12572,0,3,0,3,3,2,2,2,3,3,1,2,1,0
12574,0,3,0,2,4,0,3,1,2,2,1,2,1,0
12587,1,5,0,0,5,1,4,4,2,2,5,5,1,0
12608,1,4,0,4,3,0,4,4,1,4,3,4,1,0
12614,1,4,0,3,5,1,5,4,3,3,4,2,1,0
12619,0,3,0,1,5,0,3,3,1,3,3,3,1,0
12623,0,3,0,3,3,1,5,2,3,3,4,2,1,0
12628,1,4,0,4,5,1,4,5,1,3,3,3,1,0
12633,0,2,0,3,4,0,2,2,4,3,2,2,1,0
12638,0,1,0,2,1,0,4,4,2,1,4,4,1,0
12644,0,5,0,3,4,0,5,5,4,4,5,4,0,1
12654,0,1,0,3,4,0,4,4,4,3,4,4,1,0
12657,0,3,0,5,3,1,3,3,2,4,3,3,1,0
12658,1,4,0,4,5,1,5,5,4,3,5,4,0,1
12689,0,4,1,4,4,1,4,5,4,4,5,4,0,1
12697,0,4,0,4,2,1,4,4,5,5,3,3,0,1
12711,0,4,1,3,4,0,4,4,2,2,4,5,1,0
12732,0,2,1,2,3,0,4,4,1,1,4,5,1,0
12734,0,1,0,2,2,0,5,5,2,2,3,5,1,0
12736,0,4,1,4,5,0,5,5,3,3,5,5,0,1
12742,1,4,0,5,4,1,4,4,5,4,4,4,0,1
12748,0,4,0,3,2,1,4,4,1,2,4,4,1,0
12752,0,2,0,2,3,0,4,4,1,2,4,4,1,0
12758,0,1,0,3,1,0,4,4,3,1,4,4,1,0
12759,0,3,0,1,3,1,3,3,5,3,3,3,1,0
12773,1,4,0,4,4,1,1,2,3,3,3,3,1,0
12779,0,3,0,4,4,0,4,4,3,3,2,2,0,1
12788,0,4,1,4,1,0,1,1,3,3,1,5,0,1
12802,0,2,0,4,4,0,2,2,4,3,2,2,0,1
12815,0,2,0,2,2,1,5,1,2,2,5,2,1,0
12826,1,2,0,5,5,1,3,4,5,5,5,5,0,1
12840,0,1,0,2,2,0,4,4,3,5,4,4,1,0
12851,0,4,0,4,1,1,1,4,4,4,1,3,1,0
12852,0,1,0,4,4,0,4,1,3,4,4,4,0,1
12856,0,1,0,3,3,0,2,2,4,5,2,2,1,0
12862,0,3,0,3,2,0,4,4,3,1,4,5,1,0
12870,0,4,0,4,4,0,4,4,3,2,4,4,0,1
12886,0,4,1,4,5,1,5,1,4,4,4,4,0,1
12888,0,4,1,5,2,2,3,3,3,2,1,5,0,1
12907,0,3,0,4,1,0,3,3,4,1,3,3,0,1
12930,1,0,0,2,4,1,1,1,3,4,1,0,1,0
12938,0,3,0,3,3,1,3,3,4,3,3,3,1,0
12953,0,3,0,4,4,0,3,3,4,3,3,3,0,1
12971,1,4,0,4,4,1,4,4,2,2,2,4,1,0
12974,0,2,0,3,1,0,4,4,2,2,4,4,1,0
12985,0,1,0,4,1,0,1,1,3,4,1,1,0,1
12986,0,3,0,3,5,1,3,3,3,3,2,4,1,0
13004,0,4,0,2,3,0,4,4,2,4,4,4,0,1
13007,1,4,0,4,4,0,5,5,5,5,4,5,0,1
13023,0,4,0,4,2,0,2,3,4,4,3,5,0,1
13032,1,4,0,4,2,1,4,3,4,3,3,3,1,0
13034,0,2,0,3,3,1,2,2,2,3,2,2,1,0
13039,0,3,0,4,1,0,3,3,4,4,3,3,0,1
13041,1,4,0,4,5,1,4,4,5,5,4,4,1,0
13045,0,2,0,4,2,0,3,2,3,4,3,3,0,1
13073,0,2,0,2,2,1,5,4,2,2,2,5,1,0
13085,0,3,0,3,4,1,3,4,3,3,3,2,1,0
13090,0,4,1,5,4,0,5,5,3,3,4,3,0,1
13102,0,1,0,4,2,0,1,1,3,3,1,1,0,1
13110,1,4,0,4,3,1,3,3,3,2,1,5,1,0
13117,1,4,0,4,2,1,5,5,3,3,2,4,1,0
13120,0,2,0,4,3,0,2,2,3,4,2,2,0,1
13126,0,4,0,3,5,1,4,4,4,3,4,4,1,0
13144,0,4,1,4,5,1,4,5,3,5,5,4,0,1
13175,0,1,0,1,4,0,4,4,3,1,4,5,1,0
13180,0,3,0,4,2,1,3,3,3,5,3,3,1,0
13200,1,0,0,0,1,1,3,4,1,1,3,1,1,0
13203,0,3,0,3,3,2,3,2,3,3,1,1,1,0
13222,1,0,0,0,1,2,2,1,2,3,1,2,1,0
13244,0,2,0,4,2,0,4,4,2,4,2,4,0,1
13254,1,4,0,1,2,1,3,3,2,2,1,3,1,0
13257,0,4,0,1,5,2,4,4,3,5,4,4,1,0
13260,0,4,0,2,4,1,4,4,2,4,4,4,1,0
13267,1,2,0,5,5,0,5,4,5,4,5,3,0,1
13270,0,4,0,2,1,0,4,4,2,1,4,4,0,1
13274,1,4,0,5,3,0,2,2,4,3,2,4,0,1
13277,0,3,0,3,5,0,2,2,2,1,2,2,1,0
13291,0,4,0,2,4,1,4,4,3,4,4,4,1,0
13318,0,4,0,4,1,1,4,4,3,1,4,4,0,1
13324,1,4,0,0,1,1,2,2,2,2,3,1,1,0
13340,0,3,0,3,1,1,3,3,1,5,3,3,1,0
13347,0,4,0,3,5,1,4,4,4,2,4,4,1,0
13358,1,4,0,4,3,1,4,4,3,2,5,4,1,0
13384,0,3,0,1,1,0,3,3,5,4,3,5,1,0
13388,0,5,0,2,1,0,1,5,2,1,1,2,0,1
13400,0,4,0,4,3,0,4,4,3,3,4,4,0,1
13408,0,4,1,3,5,0,4,4,4,4,3,4,1,0
13409,0,2,0,4,3,0,2,2,3,4,2,2,0,1
13425,0,4,1,4,5,0,4,5,1,1,4,5,0,1
13436,0,3,0,4,2,0,3,3,3,2,3,3,0,1
13482,0,2,0,4,3,0,1,2,3,1,1,1,0,1
13520,0,2,0,4,3,0,2,2,4,3,2,2,0,1
13521,0,2,0,2,4,0,4,4,1,1,3,2,1,0
13534,1,4,0,4,1,2,3,3,2,2,1,1,1,0
13544,0,4,0,4,2,0,4,4,3,4,4,4,0,1
13551,0,2,0,3,4,0,4,5,3,3,5,2,1,0
13563,0,2,0,2,1,2,2,2,3,5,2,2,1,0
13565,0,3,1,3,4,0,4,4,1,1,5,4,1,0
13586,0,4,1,4,2,1,1,3,5,5,4,2,1,0
13592,0,4,1,4,4,1,4,3,2,2,1,1,1,0
13596,1,0,0,3,2,1,3,1,3,5,3,0,1,0
13603,0,4,0,4,3,2,3,3,4,4,3,5,0,1
13640,1,4,0,4,5,1,5,4,5,4,5,3,1,0
13647,0,1,0,3,3,0,4,4,1,3,4,4,1,0
13665,0,4,0,4,1,0,3,3,4,4,1,1,0,1
13669,0,5,0,2,1,0,5,5,3,4,5,4,0,1
13673,0,4,0,2,5,1,4,4,4,5,4,4,1,0
13680,0,5,1,0,3,1,4,4,3,3,4,2,1,0
13685,0,2,0,4,2,0,2,2,3,2,2,2,0,1
13717,0,4,1,4,3,1,2,2,5,1,3,4,1,0
13746,0,2,0,3,3,0,4,4,3,5,4,5,1,0
13748,0,4,0,2,3,1,4,4,2,3,4,4,1,0
13755,1,5,0,1,1,1,4,4,3,1,4,5,1,0
13764,0,3,0,4,4,0,3,3,3,1,3,4,0,1
13766,1,3,0,5,5,0,1,1,3,1,1,4,0,1
13772,1,4,0,3,1,1,4,3,4,5,2,3,1,0
13775,0,4,0,2,1,1,4,4,5,5,4,4,1,0
13784,0,4,1,4,4,0,5,4,4,4,4,5,0,1
13785,0,5,0,4,3,1,4,3,5,5,2,5,0,1
13790,0,1,0,3,4,0,4,4,4,4,4,4,1,0
13802,0,4,1,4,4,0,3,3,4,4,4,2,0,1
13803,0,4,0,4,1,1,4,3,4,4,3,2,1,0
13806,0,4,0,3,2,0,4,4,3,1,4,4,0,1
13811,0,1,0,4,3,0,1,1,4,2,1,0,0,1
13821,1,4,0,4,3,1,5,5,5,3,5,4,0,1
13879,0,4,0,4,1,0,3,4,3,3,3,3,0,1
13882,0,4,0,3,3,0,4,3,4,3,3,5,0,1
13886,1,5,0,0,5,1,4,5,2,2,5,5,1,0
13937,0,4,1,4,3,0,5,4,1,1,3,3,1,0
13957,0,4,0,3,1,1,4,4,4,2,4,4,1,0
13958,0,4,0,3,4,0,4,4,3,3,4,4,0,1
13962,0,4,0,3,4,0,3,3,3,5,3,3,1,0
13978,0,3,0,3,3,0,3,3,4,5,3,3,1,0
14008,0,4,0,1,3,1,4,4,3,2,4,4,1,0
14012,0,2,0,4,4,0,2,2,3,4,2,2,0,1
14020,0,4,0,4,2,1,3,2,4,4,3,4,0,1
14023,0,4,0,2,4,0,3,3,4,1,3,3,1,0
14042,0,4,0,4,4,0,4,4,3,2,4,4,0,1
14051,0,4,0,4,4,1,4,4,4,3,4,4,0,1
14067,0,2,0,3,1,0,5,5,4,4,1,2,1,0
14069,0,1,0,4,3,0,3,1,3,4,3,3,0,1
14092,0,3,0,3,5,1,1,2,3,3,1,1,1,0
14126,0,4,0,3,4,0,4,4,3,4,4,4,0,1
14127,0,3,0,4,1,1,3,4,4,3,1,4,0,1
14129,1,4,0,4,3,0,5,5,3,2,5,3,0,1
14132,0,3,0,3,1,1,1,1,4,4,2,4,1,0
14143,0,4,1,4,5,1,5,4,3,3,3,2,1,0
14159,1,3,0,5,5,1,4,4,5,3,4,4,0,1
14182,0,4,1,4,3,1,4,5,3,3,4,3,1,0
14185,0,2,0,3,2,0,4,4,1,5,4,4,1,0
14191,0,4,0,3,4,0,5,4,2,2,5,2,1,0
14199,0,3,0,4,1,0,3,3,4,2,3,3,0,1
14220,0,4,1,4,3,1,1,5,2,2,1,4,1,0
14242,0,2,0,3,3,0,5,5,3,3,3,3,1,0
14245,0,3,0,4,2,0,3,3,4,3,3,2,0,1
14252,0,4,0,3,2,0,3,4,4,4,3,4,0,1
14260,0,4,0,3,4,0,4,4,3,1,4,4,0,1
14282,0,4,0,4,3,0,4,4,3,1,4,3,0,1
14284,0,4,0,4,2,0,2,4,3,1,2,2,0,1
14311,1,4,0,4,3,2,5,5,2,2,5,5,0,1
14323,0,4,0,1,4,1,4,4,1,4,4,4,1,0
14329,0,3,0,3,2,0,4,4,4,4,4,4,1,0
14363,0,3,0,2,4,1,3,3,5,1,3,3,1,0
14371,1,4,0,4,4,2,4,5,5,5,3,2,1,0
14372,0,4,0,2,1,1,4,4,2,3,4,4,1,0
14391,0,4,0,4,3,1,3,1,4,4,4,4,0,1
14392,0,4,1,4,4,0,5,4,1,1,4,5,0,1
14403,0,4,0,4,3,1,3,4,4,4,1,3,1,0
14409,0,1,0,4,2,0,3,1,4,2,3,3,0,1
